name,position,college,conference,height,weight,forty,vertical,broad_jump,cone,shuttle,age,years_since_first_played,played_at_18,played_at_19,played_at_20,played_at_21,played_at_22,played_at_23,Y0_fumbles_FUM,Y0_fumbles_LOST,Y0_fumbles_REC,Y1_puntReturns_AVG,Y1_puntReturns_LONG,Y1_puntReturns_NO,Y1_puntReturns_TD,Y1_puntReturns_YDS,Y0_receiving_LONG,Y0_receiving_REC,Y0_receiving_TD,Y0_receiving_YDS,Y0_receiving_YPR,Y0_rushing_CAR,Y0_rushing_LONG,Y0_rushing_TD,Y0_rushing_YDS,Y0_rushing_YPC,Y1_receiving_LONG,Y1_receiving_REC,Y1_receiving_TD,Y1_receiving_YDS,Y1_receiving_YPR,Y1_rushing_CAR,Y1_rushing_LONG,Y1_rushing_TD,Y1_rushing_YDS,Y1_rushing_YPC,Y2_kickReturns_AVG,Y2_kickReturns_LONG,Y2_kickReturns_NO,Y2_kickReturns_TD,Y2_kickReturns_YDS,Y2_receiving_LONG,Y2_receiving_REC,Y2_receiving_TD,Y2_receiving_YDS,Y2_receiving_YPR,Y2_rushing_CAR,Y2_rushing_LONG,Y2_rushing_TD,Y2_rushing_YDS,Y2_rushing_YPC,Y0_kickReturns_AVG,Y0_kickReturns_LONG,Y0_kickReturns_NO,Y0_kickReturns_TD,Y0_kickReturns_YDS,Y3_receiving_LONG,Y3_receiving_REC,Y3_receiving_TD,Y3_receiving_YDS,Y3_receiving_YPR,Y3_rushing_CAR,Y3_rushing_LONG,Y3_rushing_TD,Y3_rushing_YDS,Y3_rushing_YPC,Y0_puntReturns_AVG,Y0_puntReturns_LONG,Y0_puntReturns_NO,Y0_puntReturns_TD,Y0_puntReturns_YDS,Y1_kickReturns_AVG,Y1_kickReturns_LONG,Y1_kickReturns_NO,Y1_kickReturns_TD,Y1_kickReturns_YDS,Y2_puntReturns_AVG,Y2_puntReturns_LONG,Y2_puntReturns_NO,Y2_puntReturns_TD,Y2_puntReturns_YDS,Y3_kickReturns_AVG,Y3_kickReturns_LONG,Y3_kickReturns_NO,Y3_kickReturns_TD,Y3_kickReturns_YDS,Y3_puntReturns_AVG,Y3_puntReturns_LONG,Y3_puntReturns_NO,Y3_puntReturns_TD,Y3_puntReturns_YDS,Y1_fumbles_FUM,Y1_fumbles_LOST,Y1_fumbles_REC,Y2_fumbles_FUM,Y2_fumbles_LOST,Y2_fumbles_REC,Y3_fumbles_FUM,Y3_fumbles_LOST,Y3_fumbles_REC
Alec Pierce,Wide Receiver,Cincinnati,American Athletic,75.0,211.0,4.41,40.5,129.0,7.13,4.28,22.0,3,0,1,1,1,0,0,,,,,,,,,53.0,52.0,8.0,884.0,17.0,,,,,,45.0,17.0,3.0,315.0,18.5,,,,,,,,,,,52.0,37.0,2.0,652.0,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skyy Moore,Wide Receiver,Western Michigan,Mid-American,70.0,195.0,4.41,34.5,125.0,7.13,4.32,21.0,3,1,1,1,0,0,0,,,,,,,,,74.0,95.0,10.0,1292.0,13.6,1.0,10.0,0.0,10.0,10.0,56.0,24.0,3.0,389.0,16.2,1.0,0.0,0.0,0.0,0.0,13.0,13.0,1.0,0.0,13.0,61.0,51.0,3.0,802.0,15.7,1.0,2.0,1.0,2.0,2.0,4.0,9.0,2.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
Velus Jones Jr.,Wide Receiver,Tennessee,SEC,72.0,204.0,,,,,,25.0,4,0,0,0,1,1,1,2.0,1.0,0.0,,,,,,72.0,62.0,7.0,807.0,13.0,1.0,15.0,0.0,15.0,15.0,74.0,22.0,3.0,280.0,12.7,3.0,9.0,0.0,16.0,5.3,24.3,100.0,29.0,1.0,704.0,8.0,6.0,0.0,35.0,5.8,,,,,,26.2,96.0,24.0,1.0,628.0,45.0,24.0,1.0,266.0,11.1,6.0,8.0,1.0,13.0,2.2,15.1,50.0,18.0,0.0,272.0,22.1,40.0,18.0,0.0,398.0,,,,,,23.0,37.0,21.0,0.0,483.0,1.0,1.0,1.0,0.0,1.0,,,,2.0,1.0,0.0,,,
Jalen Tolbert,Wide Receiver,South Alabama,Sun Belt,73.0,194.0,4.49,36.0,123.0,7.08,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,,,,,,68.0,82.0,8.0,1474.0,18.0,,,,,,73.0,64.0,8.0,1086.0,17.0,,,,,,,,,,,60.0,27.0,6.0,521.0,19.3,,,,,,,,,,,25.0,5.0,0.0,60.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,,,,
David Bell,Wide Receiver,Purdue,Big Ten,73.0,212.0,4.65,33.0,118.0,7.14,4.57,21.0,3,1,1,1,0,0,0,,,,,,,,,60.0,93.0,6.0,1286.0,13.8,3.0,26.0,0.0,39.0,13.0,89.0,53.0,8.0,625.0,11.8,,,,,,,,,,,54.0,86.0,7.0,1035.0,12.0,3.0,9.0,1.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Gray,Wide Receiver,SMU,American Athletic,72.0,186.0,4.33,34.0,126.0,,,23.0,2,0,0,0,1,1,0,,,,13.0,15.0,2.0,0.0,26.0,68.0,49.0,9.0,803.0,16.4,3.0,27.0,0.0,40.0,13.3,62.0,33.0,4.0,448.0,13.6,3.0,32.0,2.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,64.0,9.0,0.0,180.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,
Erik Ezukanma,Wide Receiver,Texas Tech,Big 12,74.0,209.0,,36.5,126.0,,4.38,22.0,4,1,1,1,1,0,0,,,,,,,,,75.0,48.0,4.0,705.0,14.7,10.0,45.0,2.0,138.0,13.8,57.0,45.0,6.0,739.0,16.4,,,,,,,,,,,56.0,42.0,4.0,664.0,15.8,,,,,,,,,,,44.0,2.0,1.0,48.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Doubs,Wide Receiver,Nevada,Mountain West,74.0,201.0,,,,,,22.0,4,1,1,1,1,0,0,,,,9.1,29.0,11.0,0.0,100.0,66.0,80.0,11.0,1109.0,13.9,1.0,4.0,0.0,4.0,4.0,65.0,56.0,8.0,985.0,17.6,1.0,0.0,0.0,-4.0,-4.0,,,,,,75.0,44.0,4.0,649.0,14.8,1.0,0.0,0.0,-1.0,-1.0,,,,,,57.0,43.0,2.0,562.0,13.1,,,,,,14.2,47.0,12.0,0.0,170.0,,,,,,10.8,24.0,8.0,0.0,86.0,22.0,22.0,1.0,0.0,22.0,17.8,80.0,6.0,1.0,107.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0
Calvin Austin III,Wide Receiver,Memphis,American Athletic,68.0,170.0,,,,,,23.0,4,0,1,1,1,1,0,1.0,1.0,0.0,9.4,64.0,20.0,1.0,188.0,75.0,74.0,8.0,1149.0,15.5,1.0,69.0,1.0,69.0,69.0,65.0,63.0,11.0,1053.0,16.7,2.0,11.0,0.0,14.0,7.0,,,,,,46.0,17.0,3.0,315.0,18.5,4.0,7.0,1.0,3.0,0.8,,,,,,18.0,2.0,0.0,24.0,12.0,1.0,83.0,1.0,83.0,83.0,27.0,94.0,5.0,1.0,135.0,,,,,,0.0,2.0,4.0,0.0,0.0,,,,,,,,,,,3.0,1.0,0.0,,,,,,
Khalil Shakir,Wide Receiver,Boise State,Mountain West,72.0,196.0,4.43,34.5,124.0,7.28,4.21,22.0,4,1,1,1,1,0,0,,,,,,,,,69.0,77.0,7.0,1117.0,14.5,21.0,33.0,0.0,130.0,6.2,52.0,52.0,6.0,719.0,13.8,17.0,28.0,0.0,147.0,8.6,10.0,10.0,1.0,0.0,10.0,50.0,63.0,6.0,872.0,13.8,19.0,14.0,3.0,66.0,3.5,26.7,35.0,3.0,0.0,80.0,49.0,16.0,1.0,170.0,10.6,14.0,28.0,1.0,70.0,5.0,12.8,40.0,9.0,0.0,115.0,,,,,,3.7,5.0,3.0,0.0,11.0,25.0,29.0,4.0,0.0,100.0,5.3,22.0,11.0,0.0,58.0,1.0,0.0,0.0,,,,1.0,0.0,0.0
Kyle Philips,Wide Receiver,UCLA,Pac-12,71.0,189.0,4.58,33.5,124.0,,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,9.8,28.0,5.0,0.0,49.0,75.0,59.0,10.0,739.0,12.5,,,,,,21.0,38.0,2.0,370.0,9.7,4.0,29.0,0.0,40.0,10.0,,,,,,39.0,60.0,5.0,681.0,11.4,1.0,7.0,0.0,7.0,7.0,,,,,,9.0,6.0,0.0,31.0,5.2,,,,,,22.6,82.0,9.0,1.0,203.0,,,,,,22.5,69.0,8.0,1.0,180.0,,,,,,13.7,32.0,3.0,0.0,41.0,1.0,1.0,0.0,,,,,,
Jalen Nailor,Wide Receiver,Michigan State,Big Ten,71.0,186.0,4.5,38.0,128.0,7.03,4.28,23.0,4,0,1,1,1,1,0,,,,9.0,17.0,2.0,0.0,18.0,65.0,37.0,6.0,695.0,18.8,1.0,0.0,0.0,-3.0,-3.0,75.0,26.0,4.0,515.0,19.8,2.0,8.0,0.0,11.0,5.5,25.7,28.0,3.0,0.0,77.0,23.0,15.0,0.0,106.0,7.1,5.0,10.0,0.0,27.0,5.4,13.5,20.0,6.0,0.0,81.0,48.0,8.0,2.0,138.0,17.3,10.0,75.0,1.0,126.0,12.6,,,,,,21.0,21.0,1.0,0.0,21.0,8.5,10.0,2.0,0.0,17.0,,,,,,3.5,5.0,4.0,0.0,14.0,1.0,1.0,0.0,,,,,,
Michael Woods II,Wide Receiver,Oklahoma,Big 12,73.0,198.0,,,,,,22.0,4,1,1,1,1,0,0,,,,,,,,,59.0,35.0,2.0,400.0,11.4,1.0,2.0,0.0,2.0,2.0,82.0,31.0,5.0,602.0,19.4,1.0,2.0,0.0,2.0,2.0,,,,,,62.0,33.0,4.0,423.0,12.8,,,,,,,,,,,29.0,18.0,1.0,206.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Melton,Wide Receiver,Rutgers,Big Ten,71.0,189.0,4.34,38.0,121.0,6.98,,23.0,4,0,1,1,1,1,0,1.0,0.0,0.0,0.0,58.0,0.0,1.0,58.0,57.0,55.0,3.0,618.0,11.2,9.0,13.0,0.0,51.0,5.7,66.0,46.0,6.0,639.0,13.9,6.0,44.0,2.0,69.0,11.5,,,,,,52.0,30.0,2.0,427.0,14.2,4.0,21.0,0.0,22.0,5.5,23.2,53.0,5.0,0.0,116.0,28.0,28.0,0.0,245.0,8.8,6.0,14.0,0.0,23.0,3.8,7.6,13.0,5.0,0.0,38.0,29.5,39.0,6.0,0.0,177.0,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,
Samori Toure,Wide Receiver,Nebraska,Big Ten,75.0,190.0,,,,,,24.0,1,0,0,0,0,0,1,1.0,0.0,0.0,,,,,,72.0,46.0,5.0,898.0,19.5,8.0,21.0,1.0,63.0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,10.0,2.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
